Country Name,Year,"Adolescent fertility rate (births per 1,000 women ages 15-19)",Adults (ages 15+) and children (0-14 years) living with HIV,Antiretroviral therapy coverage (% of people living with HIV),"Contraceptive prevalence, any modern method (% of all women ages 15-49)",Current health expenditure per capita (current US$),Exclusive breastfeeding (% of children under 6 months),"Hospital beds (per 1,000 people)","Immunization, measles (% of children ages 12-23 months)","Incidence of tuberculosis (per 100,000 people)","Life expectancy at birth, total (years)","Maternal mortality ratio (modeled estimate, per 100,000 live births)","Mortality rate, under-5 (per 1,000)",Out-of-pocket expenditure (% of current health expenditure),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),People with basic handwashing facilities including soap and water (% of population),"Physicians (per 1,000 people)",Prevalence of hypertension (% of adults ages 30-79),"Prevalence of stunting, height for age (% of children under 5)","Prevalence of wasting, weight for height (% of children under 5)",Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),Unmet need for contraception (% of married women ages 15-49),Vitamin A supplementation coverage rate (% of children ages 6-59 months),Women who were first married by age 15 (% of women ages 20-24)
Mauritius,1981,0.17735627360469997,0.24023594854242958,0.1767225383473528,0.7372566000396675,0.15741392424591213,0.1687715269804822,0.47904918232902133,0.336734693877551,0.01264138389886893,0.8516106063322694,0.009240759240759242,0.031842908318959806,0.48931282605370435,0.3426310727751377,0.34507555192739325,0.40039557997252323,0.14206932773109246,0.31174089068825916,0.31663974151857843,0.7319148936170213,0.33217993079584773,0.0,0.358521602796412,0.3813505412515634
Mauritius,1982,0.1693215834382431,0.24023594854242958,0.1767225383473528,0.7372566000396675,0.15741392424591213,0.1687715269804822,0.47904918232902133,0.336734693877551,0.01264138389886893,0.8618121746545017,0.009240759240759242,0.02786254477908983,0.48931282605370435,0.3426310727751377,0.34507555192739325,0.40039557997252323,0.14206932773109246,0.31174089068825916,0.31663974151857843,0.7319148936170213,0.33217993079584773,0.0,0.358521602796412,0.3813505412515634
Mauritius,1983,0.15936214855224506,0.24023594854242958,0.1767225383473528,0.7372566000396675,0.15741392424591213,0.1687715269804822,0.47904918232902133,0.5306122448979591,0.01264138389886893,0.8688150990132729,0.009240759240759242,0.02361682366989519,0.48931282605370435,0.3426310727751377,0.34507555192739325,0.40039557997252323,0.14206932773109246,0.31174089068825916,0.31663974151857843,0.7319148936170213,0.33217993079584773,0.0,0.358521602796412,0.3813505412515634
Mauritius,1984,0.14439502028255702,0.24023594854242958,0.1767225383473528,0.7372566000396675,0.15741392424591213,0.1687715269804822,0.47904918232902133,0.5510204081632653,0.01264138389886893,0.8722887645053609,0.009240759240759242,0.02056521162266154,0.48931282605370435,0.3426310727751377,0.34507555192739325,0.40039557997252323,0.14206932773109246,0.31174089068825916,0.31663974151857843,0.7319148936170213,0.33217993079584773,0.0,0.358521602796412,0.3813505412515634
Mauritius,1985,0.1284151629598545,0.24023594854242958,0.1767225383473528,0.7372566000396675,0.15741392424591213,0.1687715269804822,0.5158196589985836,0.673469387755102,0.01264138389886893,0.8734886241597025,0.009240759240759242,0.019636460130025214,0.48931282605370435,0.3426310727751377,0.34507555192739325,0.40039557997252323,0.1360294117647059,0.31174089068825916,0.31663974151857843,0.7319148936170213,0.33217993079584773,0.0,0.358521602796412,0.3813505412515634
Mauritius,1986,0.11896489019443278,0.24023594854242958,0.1767225383473528,0.7372566000396675,0.15741392424591213,0.1687715269804822,0.5158196589985836,0.7142857142857142,0.01264138389886893,0.8756365165265111,0.008616383616383616,0.02003449648401221,0.48931282605370435,0.3426310727751377,0.34507555192739325,0.40039557997252323,0.1360294117647059,0.31174089068825916,0.31663974151857843,0.7319148936170213,0.33217993079584773,0.0,0.358521602796412,0.3813505412515634
Mauritius,1987,0.12168415162959852,0.24023594854242958,0.1767225383473528,0.7372566000396675,0.15741392424591213,0.1687715269804822,0.5158196589985836,0.693877551020408,0.01264138389886893,0.8800125618936504,0.008241758241758242,0.019636460130025214,0.48931282605370435,0.3426310727751377,0.34507555192739325,0.40039557997252323,0.1360294117647059,0.31174089068825916,0.31663974151857843,0.7319148936170213,0.33217993079584773,0.0,0.358521602796412,0.3813505412515634
Mauritius,1988,0.12776052594768494,0.24023594854242958,0.1767225383473528,0.7372566000396675,0.15741392424591213,0.1687715269804822,0.5158196589985836,0.7346938775510203,0.01264138389886893,0.8841319941343467,0.006993006993006994,0.017646278360090223,0.48931282605370435,0.3426310727751377,0.34507555192739325,0.40039557997252323,0.1360294117647059,0.31174089068825916,0.31663974151857843,0.7319148936170213,0.33217993079584773,0.0,0.358521602796412,0.3813505412515634
Mauritius,1989,0.13470415442719258,0.24023594854242958,0.1767225383473528,0.7372566000396675,0.15741392424591213,0.1687715269804822,0.5158196589985836,0.8061224489795917,0.01264138389886893,0.8859209226585708,0.005994005994005994,0.014992702666843577,0.48931282605370435,0.3426310727751377,0.34507555192739325,0.40039557997252323,0.2224264705882353,0.31174089068825916,0.31663974151857843,0.7319148936170213,0.33217993079584773,0.0,0.358521602796412,0.3813505412515634
Mauritius,1990,0.138637571688348,0.24023594854242958,0.1767225383473528,0.7372566000396675,0.15741392424591213,0.1687715269804822,0.5158196589985836,0.7653061224489796,0.01264138389886893,0.8817812411754721,0.004995004995004996,0.012604484542921589,0.48931282605370435,0.3426310727751377,0.34507555192739325,0.40039557997252323,0.2100840336134454,0.31174089068825916,0.31663974151857843,0.7319148936170213,0.33217993079584773,0.0,0.358521602796412,0.3813505412515634
Mauritius,1991,0.13837459784585254,0.24023594854242958,0.1767225383473528,0.7372566000396675,0.15741392424591213,0.1687715269804822,0.44042623237704925,0.8877551020408162,0.01264138389886893,0.8901018389625613,0.004745254745254746,0.010879660342311265,0.48931282605370435,0.3426310727751377,0.34507555192739325,0.40039557997252323,0.21638655462184875,0.32793522267206476,0.31663974151857843,0.7319148936170213,0.33217993079584773,0.08201972329323147,0.358521602796412,0.3813505412515634
